country;country hex prefixes;country icao code;hex range start;hex range end;possible registry items
Afghanistan;700;YA;700000;700FFF;4096
Albania;5010,5011,5012,5013;ZA;501000;5013FF;1024
Algeria;0A0,0A1,0A2,0A3,0A4,0A5,0A6,0A7;7T;0A0000;0A7FFF;32768
Angola;090;D2;090000;090FFF;4096
Antigua and Barbuda;0CA0,0CA1,0CA2,0CA3;V2;0CA000;0CA3FF;1024
Argentina;E0,E1,E2,E3;LQ;E00000;E3FFFF;262144
Armenia;6000,6001,6002,6003;EK;600000;6003FF;1024
Australia;7C,7D,7E,7F;VH;7C0000;7FFFFF;262144
Austria;440,441,442,443,444,445,446,447;OE;440000;447FFF;32768
Azerbaijan;6008,6009,600A,600B;4K;600800;600BFF;1024
Bahamas;0A8;C6;0A8000;0A8FFF;4096
Bahrain;894;A9C;894000;894FFF;4096
Bangladesh;702;S2;702000;702FFF;4096
Barbados;0AA0,0AA1,0AA2,0AA3;8P;0AA000;0AA3FF;1024
Belarus;5100,5101,5102,5103;EW;510000;5103FF;1024
Belgium;448,449,44A,44B,44C,44D,44E,44F;OO;448000;44FFFF;32768
Belize;0AB0,0AB1,0AB2,0AB3;V3;0AB000;0AB3FF;1024
Benin;0940,0941,0942,0943;TY;094000;0943FF;1024
Bhutan;6800,6801,6802,6803;A5;680000;6803FF;1024
Bolivia;E94;CP;E94000;E94FFF;4096
Bosnia and Herzegovina;5130,5131,5132,5133;E7;513000;5133FF;1024
Botswana;0300,0301,0302,0303;A2;030000;0303FF;1024
Brazil;E4,E5,E6,E7;PS;E40000;E7FFFF;262144
Brunei Darussalam;8950,8951,8952,8953;V8;895000;8953FF;1024
Bulgaria;450,451,452,453,454,455,456,457;LZ;450000;457FFF;32768
Burkina Faso;09C;XT;09C000;09CFFF;4096
Burundi;032;9U;032000;032FFF;4096
Cambodia;70E;XU;70E000;70EFFF;4096
Cameroon;034;TJ;034000;034FFF;4096
Canada;C0,C1,C2,C3;C;C00000;C3FFFF;262144
Cape Verde;0960,0961,0962,0963;D4;096000;0963FF;1024
Central African Republic;06C;TL;06C000;06CFFF;4096
Chad;084;TT;084000;084FFF;4096
Chile;E80;CC;E80000;E80FFF;4096
China;78,79,7A,7B;B;780000;7BFFFF;262144
Colombia;0AC;HK;0AC000;0ACFFF;4096
Comoros;0350,0351,0352,0353;D6;035000;0353FF;1024
Congo;036;TN;036000;036FFF;4096
Cook Islands;9010,9011,9012,9013;E5;901000;9013FF;1024
Costa Rica;0AE;TI;0AE000;0AEFFF;4096
Croatia;501C,501D,501E,501F;9A;501C00;501FFF;1024
Cuba;0B0;CU;0B0000;0B0FFF;4096
Cyprus;4C80,4C81,4C82,4C83;5B;4C8000;4C83FF;1024
Czech Republic;498,499,49A,49B,49C,49D,49E,49F;OK;498000;49FFFF;32768
Côte d Ivoire;038;;038000;038FFF;4096
Democratic People's Republic of Korea;720,721,722,723,724,725,726,727;;720000;727FFF;32768
Democratic Republic of the Congo;08C;OO-C;08C000;08CFFF;4096
Denmark;458,459,45A,45B,45C,45D,45E,45F;OY;458000;45FFFF;32768
Djibouti;0980,0981,0982,0983;J2;098000;0983FF;1024
Dominican Republic;0C4;HI;0C4000;0C4FFF;4096
Ecuador;E84;HC;E84000;E84FFF;4096
Egypt;010,011,012,013,014,015,016,017;SU;010000;017FFF;32768
El Salvador;0B2;YS;0B2000;0B2FFF;4096
Equatorial Guinea;042;3C;042000;042FFF;4096
Eritrea;2020,2021,2022,2023;E3;202000;2023FF;1024
Estonia;5110,5111,5112,5113;ES;511000;5113FF;1024
Ethiopia;040;ET;040000;040FFF;4096
Fiji;C88;DQ;C88000;C88FFF;4096
Finland;460,461,462,463,464,465,466,467;OH;460000;467FFF;32768
France;38,39,3A,3B;F;380000;3BFFFF;262144
Gabon;03E;TR;03E000;03EFFF;4096
Gambia;09A;C5;09A000;09AFFF;4096
Georgia;5140,5141,5142,5143;4L;514000;5143FF;1024
Germany;3C,3D,3E,3F;D;3C0000;3FFFFF;262144
Ghana;044;9GR;044000;044FFF;4096
Greece;468,469,46A,46B,46C,46D,46E,46F;SX;468000;46FFFF;32768
Grenada;0CC0,0CC1,0CC2,0CC3;J3;0CC000;0CC3FF;1024
Guatemala;0B4;TG;0B4000;0B4FFF;4096
Guinea;046;3X;046000;046FFF;4096
Guinea-Bissau;0480,0481,0482,0483;J5;048000;0483FF;1024
Guyana;0B6;8R;0B6000;0B6FFF;4096
Haiti;0B8;HH;0B8000;0B8FFF;4096
Honduras;0BA;HR;0BA000;0BAFFF;4096
Hungary;470,471,472,473,474,475,476,477;HA;470000;477FFF;32768
ICAO (2);8990,8991,8992,8993;;899000;8993FF;1024
Iceland;4CC;TF;4CC000;4CCFFF;4096
India;80,81,82,83;VT;800000;83FFFF;262144
Indonesia;8A0,8A1,8A2,8A3,8A4,8A5,8A6,8A7;PK;8A0000;8A7FFF;32768
Iran, Islamic Republic of;730,731,732,733,734,735,736,737;EP;730000;737FFF;32768
Iraq;728,729,72A,72B,72C,72D,72E,72F;YI;728000;72FFFF;32768
Ireland;4CA;EI;4CA000;4CAFFF;4096
Israel;738,739,73A,73B,73C,73D,73E,73F;4Z;738000;73FFFF;32768
Italy;30,31,32,33;I;300000;33FFFF;262144
Jamaica;0BE;6Y;0BE000;0BEFFF;4096
Japan;84,85,86,87;JR;840000;87FFFF;262144
Jordan;740,741,742,743,744,745,746,747;JY;740000;747FFF;32768
Kazakhstan;6830,6831,6832,6833;UP;683000;6833FF;1024
Kenya;04C;5Y;04C000;04CFFF;4096
Kiribati;C8E0,C8E1,C8E2,C8E3;T3;C8E000;C8E3FF;1024
Kuwait;706;9K;706000;706FFF;4096
Kyrgyzstan;6010,6011,6012,6013;EX;601000;6013FF;1024
Lao People's Democratic Republic;708;;708000;708FFF;4096
Latvia;502C,502D,502E,502F;LV;502C00;502FFF;1024
Lebanon;748,749,74A,74B,74C,74D,74E,74F;OD;748000;74FFFF;32768
Lesotho;04A0,04A1,04A2,04A3;7P;04A000;04A3FF;1024
Liberia;050;A8;050000;050FFF;4096
Libyan Arab Jamahiriya;018,019,01A,01B,01C,01D,01E,01F;5A;018000;01FFFF;32768
Lithuania;503C,503D,503E,503F;LY;503C00;503FFF;1024
Luxembourg;4D00,4D01,4D02,4D03;LX;4D0000;4D03FF;1024
Madagascar;054;5R;054000;054FFF;4096
Malawi;058;7Q;058000;058FFF;4096
Malaysia;750,751,752,753,754,755,756,757;9M;750000;757FFF;32768
Maldives;05A0,05A1,05A2,05A3;8Q;05A000;05A3FF;1024
Mali;05C;TZ;05C000;05CFFF;4096
Malta;4D2;9H;4D2000;4D2FFF;4096
Marshall Islands;9000,9001,9002,9003;V7;900000;9003FF;1024
Mauritania;05E0,05E1,05E2,05E3;5T;05E000;05E3FF;1024
Mauritius;0600,0601,0602,0603;3B;060000;0603FF;1024
Mexico;0D0,0D1,0D2,0D3,0D4,0D5,0D6,0D7;XC plus national emblem;0D0000;0D7FFF;32768
Micronesia, Federated States of;6810,6811,6812,6813;V6;681000;6813FF;1024
Monaco;4D40,4D41,4D42,4D43;3A-M;4D4000;4D43FF;1024
Mongolia;6820,6821,6822,6823;JU;682000;6823FF;1024
Morocco;020,021,022,023,024,025,026,027;CN;020000;027FFF;32768
Mozambique;006;C9;006000;006FFF;4096
Myanmar;704;XZ;704000;704FFF;4096
Namibia;2010,2011,2012,2013;V5;201000;2013FF;1024
Nauru;C8A0,C8A1,C8A2,C8A3;C2;C8A000;C8A3FF;1024
Nepal;70A;9N;70A000;70AFFF;4096
Netherlands, Kingdom of the;480,481,482,483,484,485,486,487;PH;480000;487FFF;32768
New Zealand;C80,C81,C82,C83,C84,C85,C86,C87;ZM;C80000;C87FFF;32768
Nicaragua;0C0;YN;0C0000;0C0FFF;4096
Niger;062;5U;062000;062FFF;4096
Nigeria;064;5N;064000;064FFF;4096
Non-Contracting States Yugoslavia;4C0,4C1,4C2,4C3,4C4,4C5,4C6,4C7;UN;4C0000;4C7FFF;32768
Norway;478,479,47A,47B,47C,47D,47E,47F;LN;478000;47FFFF;32768
Oman;70C0,70C1,70C2,70C3;A4O;70C000;70C3FF;1024
Other allocations ICAO (1);F00,F01,F02,F03,F04,F05,F06,F07;;F00000;F07FFF;32768
Pakistan;760,761,762,763,764,765,766,767;AP;760000;767FFF;32768
Palau;6840,6841,6842,6843;;684000;6843FF;1024
Panama;0C2;HP;0C2000;0C2FFF;4096
Papua New Guinea;898;P2;898000;898FFF;4096
Paraguay;E88;ZP;E88000;E88FFF;4096
Peru;E8C;OB;E8C000;E8CFFF;4096
Philippines;758,759,75A,75B,75C,75D,75E,75F;RP;758000;75FFFF;32768
Poland;488,489,48A,48B,48C,48D,48E,48F;SN;488000;48FFFF;32768
Portugal;490,491,492,493,494,495,496,497;CS;490000;497FFF;32768
Qatar;06A0,06A1,06A2,06A3;A7;06A000;06A3FF;1024
Republic of Korea;718,719,71A,71B,71C,71D,71E,71F;;718000;71FFFF;32768
Republic of Moldova;504C,504D,504E,504F;ER;504C00;504FFF;1024
Romania;4A0,4A1,4A2,4A3,4A4,4A5,4A6,4A7;YR;4A0000;4A7FFF;32768
Russian Federation;10,11,12,13,14,15,16,17,18,19,1A,1B,1C,1D,1E,1F;RF;100000;1FFFFF;1048576
Rwanda;06E;9XR;06E000;06EFFF;4096
Saint Lucia;C8C0,C8C1,C8C2,C8C3;J6;C8C000;C8C3FF;1024
Saint Vincent and the Grenadines;0BC0,0BC1,0BC2,0BC3;J8;0BC000;0BC3FF;1024
Samoa;9020,9021,9022,9023;5W;902000;9023FF;1024
San Marino;5000,5001,5002,5003;T7;500000;5003FF;1024
Sao Tome and Principe;09E0,09E1,09E2,09E3;;09E000;09E3FF;1024
Saudi Arabia;710,711,712,713,714,715,716,717;HZ;710000;717FFF;32768
Senegal;070;6W;070000;070FFF;4096
Seychelles;0740,0741,0742,0743;S7;074000;0743FF;1024
Sierra Leone;0760,0761,0762,0763;9L;076000;0763FF;1024
Singapore;768,769,76A,76B,76C,76D,76E,76F;9V;768000;76FFFF;32768
Slovakia;505C,505D,505E,505F;OM;505C00;505FFF;1024
Slovenia;506C,506D,506E,506F;S5;506C00;506FFF;1024
Solomon Islands;8970,8971,8972,8973;H4;897000;8973FF;1024
Somalia;078;6O;078000;078FFF;4096
South Africa;008,009,00A,00B,00C,00D,00E,00F;ZU;008000;00FFFF;32768
Spain;34,35,36,37;EM;340000;37FFFF;262144
Sri Lanka;770,771,772,773,774,775,776,777;4R;770000;777FFF;32768
Sudan;07C;ST;07C000;07CFFF;4096
Suriname;0C8;PZ;0C8000;0C8FFF;4096
Swaziland;07A0,07A1,07A2,07A3;VQ-ZI;07A000;07A3FF;1024
Sweden;4A8,4A9,4AA,4AB,4AC,4AD,4AE,4AF;SE;4A8000;4AFFFF;32768
Switzerland;4B0,4B1,4B2,4B3,4B4,4B5,4B6,4B7;HB plus national emblem;4B0000;4B7FFF;32768
Syrian Arab Republic;778,779,77A,77B,77C,77D,77E,77F;YK;778000;77FFFF;32768
Tajikistan;5150,5151,5152,5153;EY;515000;5153FF;1024
Thailand;880,881,882,883,884,885,886,887;U;880000;887FFF;32768
The former Yugoslav Republic of Macedonia;5120,5121,5122,5123;;512000;5123FF;1024
Togo;088;5V;088000;088FFF;4096
Tonga;C8D0,C8D1,C8D2,C8D3;A3;C8D000;C8D3FF;1024
Trinidad and Tobago;0C6;9Y;0C6000;0C6FFF;4096
Tunisia;028,029,02A,02B,02C,02D,02E,02F;TS;028000;02FFFF;32768
Turkey;4B8,4B9,4BA,4BB,4BC,4BD,4BE,4BF;TC;4B8000;4BFFFF;32768
Turkmenistan;6018,6019,601A,601B;EZ;601800;601BFF;1024
Uganda;068;5X;068000;068FFF;4096
Ukraine;508,509,50A,50B,50C,50D,50E,50F;UR;508000;50FFFF;32768
United Arab Emirates;896;DU;896000;896FFF;4096
United Kingdom;40,41,42,43;G;400000;43FFFF;262144
United Republic of Tanzania;080;5H;080000;080FFF;4096
United States;A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,AA,AB,AC,AD,AE,AF;N;A00000;AFFFFF;1048576
Uruguay;E90;CX;E90000;E90FFF;4096
Uzbekistan;507C,507D,507E,507F;UK;507C00;507FFF;1024
Vanuatu;C900,C901,C902,C903;YJ;C90000;C903FF;1024
Venezuela;0D8,0D9,0DA,0DB,0DC,0DD,0DE,0DF;YV;0D8000;0DFFFF;32768
Viet Nam;888,889,88A,88B,88C,88D,88E,88F;VN;888000;88FFFF;32768
Yemen;890;7O;890000;890FFF;4096
Zambia;08A;9J;08A000;08AFFF;4096
Zimbabwe;0040,0041,0042,0043;Z;004000;0043FF;1024
